0001.HK	長和
0002.HK	中電控股
0003.HK	香港中華煤氣
0004.HK	九龍倉集團
0005.HK	匯豐控股
0006.HK	電能實業
0007.HK	香港金融集團
0008.HK	電訊盈科
0009.HK	金奧國際
0010.HK	恒隆集團
0011.HK	恒生銀行
0012.HK	恒基地產
0014.HK	希慎興業
0015.HK	盈信控股
0016.HK	新鴻基地產
0017.HK	新世界發展
0018.HK	東方報業集團
0019.HK	太古股份公司Ａ
0020.HK	會德豐
0021.HK	大中華地產控股
0022.HK	茂盛控股
0023.HK	東亞銀行
0024.HK	寶威控股
0025.HK	CHEVALIER INT'L
0026.HK	中華汽車
0027.HK	銀河娛樂
0028.HK	天安
0029.HK	達力集團
0030.HK	萬隆控股集團
0031.HK	航天控股
0032.HK	港通控股
0033.HK	雲銅股份
0034.HK	九龍建業
0035.HK	遠東發展
0036.HK	遠東控股國際
0037.HK	遠東酒店實業
0038.HK	第一拖拉機股份
0039.HK	中國北大荒
0040.HK	金山工業
0041.HK	鷹君
0042.HK	東北電氣
0043.HK	卜蜂國際
0045.HK	大酒店
0046.HK	科聯系統
0047.HK	合興集團
0048.HK	中國汽車內飾
0050.HK	香港小輪（集團）
0051.HK	海港企業
0052.HK	FAIRWOOD HOLD
0053.HK	國浩集團
0055.HK	中星集團控股
0056.HK	聯合地產（香港）
0057.HK	震雄集團
0058.HK	新威國際
0059.HK	天譽置業
0060.HK	香港食品投資
0061.HK	綠領控股
0062.HK	載通
0063.HK	中國烯谷集團
0064.HK	結好控股
0065.HK	弘海高新資源
0066.HK	港鐵公司
0067.HK	旭光高新材料
0068.HK	利興發展
0069.HK	香格里拉（亞洲）
0070.HK	金粵控股
0071.HK	美麗華酒店
0072.HK	現代傳播
0073.HK	亞洲果業
0075.HK	渝太地產
0076.HK	誼礫控股
0077.HK	進智公共交通
0078.HK	REGAL INT'L
0079.HK	世紀建業
0081.HK	中國海外宏洋集團
0082.HK	第一視頻
0083.HK	信和置業
0084.HK	寶光實業
0085.HK	中電華大科技
0086.HK	新鴻基公司
0087.HK	太古股份公司Ｂ
0088.HK	TAI CHEUNG HOLD
0089.HK	大生地產
0090.HK	普星潔能
0091.HK	金禧國際控股
0092.HK	冠軍科技集團
0093.HK	TERMBRAY IND
0094.HK	綠心集團
0095.HK	綠景中國地產
0096.HK	ＹＵＳＥＩ
0097.HK	恒基發展
0098.HK	興發鋁業
0099.HK	王氏國際
0100.HK	白馬戶外媒體
0101.HK	恒隆地產
0102.HK	凱升控股
0103.HK	首長寶佳
0104.HK	ASIA COMM HOLD
0105.HK	凱聯國際酒店
0106.HK	朗詩地產
0107.HK	四川成渝高速公路
0108.HK	國銳地產
0109.HK	天成國際
0110.HK	中國長遠
0111.HK	信達國際控股
0112.HK	勒泰集團
0113.HK	迪生創建
0114.HK	HERALD HOLD
0115.HK	鈞濠集團
0116.HK	周生生
0117.HK	天利控股集團
0118.HK	大同機械
0119.HK	保利置業集團
0120.HK	COSMOPOL INT'L
0122.HK	鱷魚恤
0123.HK	越秀地產
0124.HK	粵海置地
0125.HK	新興光學
0126.HK	佳寧娜
0127.HK	華人置業
0128.HK	安寧控股
0129.HK	泛海集團
0130.HK	慕詩國際
0131.HK	卓能（集團）
0132.HK	中國興業控股
0135.HK	昆侖能源
